client_id,client_type,acquisition_purpose,country,region,property_type,age,annual_income,budget_range,satisfaction_score,property_value,investment_horizon_years,num_prior_investments,risk_tolerance
CL00001,Corporate,Portfolio_Diversification,UAE,Europe,Mixed_Use,32.0,261189,324062,1.974459167928777,1409112,9,11,Medium
CL00002,Real_Estate_Fund,Flip_Resale,UK,Middle_East,Mixed_Use,26.0,74439,2255138,4.194223352522396,4026345,17,1,Low
CL00003,Institutional,Commercial_Use,UAE,Middle_East,Mixed_Use,,306452,531978,1.4281165368441524,5469573,16,5,Medium
CL00004,Corporate,Primary_Residence,USA,Asia_Pacific,Residential,74.0,121563,3602646,4.122797216686514,3330863,8,4,Medium
CL00005,Individual,Commercial_Use,Canada,Asia_Pacific,Commercial,58.0,257328,3991865,4.640784496578785,6906904,17,4,Low
CL00006,Individual,Primary_Residence,UAE,Europe,Commercial,66.0,327225,4250579,2.531333579073741,6207174,15,19,Low
CL00007,Individual,Investment_Rental,Canada,North_America,Residential,59.0,236314,1253891,3.522541179932322,2383414,1,21,Low
CL00008,Foreign_Investor,Primary_Residence,USA,Asia_Pacific,Industrial,50.0,473599,802214,2.720570928387305,1793063,12,4,Low
CL00009,Institutional,Portfolio_Diversification,Australia,Asia_Pacific,Commercial,26.0,39837,1860143,2.751060219952514,6284678,5,3,Medium
CL00010,Institutional,Flip_Resale,UK,Middle_East,Mixed_Use,30.0,265207,325687,2.24148355643248,154331,6,8,High
CL00011,individual,Investment_Rental,USA,Asia_Pacific,Industrial,69.0,475367,3039701,4.048518481801299,1715976,1,21,Medium
CL00012,Real_Estate_Fund,Primary_Residence,USA,Asia_Pacific,Industrial,23.0,148128,2342365,4.744706256666021,7673290,1,9,Medium
CL00013,Foreign_Investor,Commercial_Use,Singapore,Asia_Pacific,Commercial,22.0,197896,2861856,4.7630034369378444,4126808,10,15,Medium
CL00014,Individual,Investment_Rental,Singapore,Asia_Pacific,Industrial,61.0,194145,2171088,1.6991251394997353,7780725,10,9,Medium
CL00015,Individual,Investment_Rental,Germany,Middle_East,Industrial,72.0,404795,2213048,4.498974598626264,362854,3,9,Low
CL00016,Individual,Primary_Residence,USA,Europe,Commercial,51.0,127624,129813,3.9497257657084885,4894353,17,18,Medium
CL00017,Individual,Investment_Rental,USA,Europe,Commercial,,449515,3311407,2.011349602761157,5133998,19,9,Medium
CL00018,Corporate,Commercial_Use,UAE,North_America,Industrial,49.0,219933,4960345,1.2691384516860582,1703416,11,5,Low
CL00019,Corporate,Investment_Rental,UK,Asia_Pacific,Mixed_Use,,60063,4035388,2.071989067537512,7410219,18,16,Medium
CL00020,Individual,Commercial_Use,UAE,Middle_East,Residential,33.0,99453,373541,4.6488329471261025,3106156,2,4,Medium
CL00021,CORPORATE,Primary_Residence,Australia,North_America,Industrial,60.0,284371,3849199,3.532714699583089,5124384,9,5,Medium
CL00022,Individual,Flip_Resale,Australia,North_America,Industrial,47.0,491688,1715181,3.8842186435914874,2431696,17,23,Low
CL00023,Individual,Investment_Rental,Australia,Europe,Mixed_Use,34.0,132166,3424714,2.0286094044363834,6791458,14,14,Medium
CL00024,Corporate,Flip_Resale,Germany,Middle_East,Industrial,29.0,44506,4134649,3.877552622299281,1283243,4,24,Medium
CL00025,Corporate,Commercial_Use,UK,Middle_East,Industrial,49.0,255413,3238893,,154677,17,18,Low
CL00026,Foreign_Investor,Investment_Rental,UK,Middle_East,Residential,51.0,143604,3946342,2.501285383092055,354580,17,17,Low
CL00027,Individual,Portfolio_Diversification,UAE,Europe,Residential,30.0,56026,1450816,3.507013394169325,280334,12,3,Medium
CL00028,Corporate,Flip_Resale,Germany,Europe,Residential,60.0,450888,2513081,1.584386262165281,7964113,18,7,Low
CL00029,Corporate,Investment_Rental,USA,Europe,Commercial,52.0,461633,870348,4.292014297787739,7985816,3,15,Medium
CL00030,Individual,Flip_Resale,UK,Europe,Commercial,42.0,344557,2921058,1.9401251952476746,4707885,11,23,Medium
CL00031,Institutional,Investment_Rental,usa,Europe,Residential,68.0,285116,2137171,3.609124451273785,6420300,18,18,Low
CL00032,Individual,Primary_Residence,UAE,Asia_Pacific,Residential,55.0,357210,558819,2.6207885703013187,5312425,4,19,Low
CL00033,Individual,Flip_Resale,Canada,Asia_Pacific,Commercial,52.0,220285,1308060,3.3841743819105887,2202109,17,2,Medium
CL00034,Real_Estate_Fund,Portfolio_Diversification,Germany,Middle_East,Mixed_Use,73.0,80971,544874,1.4298022105156325,2658963,18,9,Low
CL00035,Real_Estate_Fund,Portfolio_Diversification,USA,North_America,Industrial,46.0,450497,4028683,1.0676511996864293,7970707,5,1,Low
CL00036,Foreign_Investor,Commercial_Use,Australia,Middle_East,Industrial,33.0,143978,2208701,4.638257709521205,5977316,14,3,Medium
CL00037,Individual,Investment_Rental,Singapore,North_America,Residential,22.0,189163,3710160,2.078520035068731,2031934,10,5,Medium
CL00038,Individual,Flip_Resale,USA,Europe,Mixed_Use,43.0,342638,2154048,4.278708011121836,2846711,15,10,Medium
CL00039,Institutional,Commercial_Use,UK,North_America,Commercial,61.0,133864,1163692,4.997401201888801,708745,1,13,Low
CL00040,Corporate,Flip_Resale,UK,Middle_East,Residential,58.0,441826,4838637,1.8457250319956446,716819,16,15,Medium
CL00041,Individual,Investment_Rental,U.S.A.,Middle_East,Mixed_Use,68.0,424295,1043831,2.0606829647334224,6645791,11,20,Medium
CL00042,Corporate,Portfolio_Diversification,Australia,North_America,Mixed_Use,22.0,125386,4330013,3.6514391505386627,6907972,6,18,High
CL00043,Individual,Primary_Residence,UAE,Asia_Pacific,Mixed_Use,22.0,469967,3174795,4.861794538402485,3948043,16,1,Medium
