client_id,client_type,acquisition_purpose,country,region,property_type,age,annual_income,budget_range,satisfaction_score,property_value,investment_horizon_years,num_prior_investments,risk_tolerance,cluster_kmeans,cluster_hierarchical,segment_name
CL00001,corporate,portfolio_diversification,uae,europe,mixed_use,32.0,261189,324062,1.974459167928777,1409112,9,11,medium,1,0,
CL00002,real_estate_fund,flip_resale,uk,middle_east,mixed_use,26.0,74439,2255138,4.194223352522396,4026345,17,1,low,7,4,
CL00003,institutional,commercial_use,uae,middle_east,mixed_use,48.0,306452,531978,1.4281165368441524,5469573,16,5,medium,5,0,
CL00004,corporate,primary_residence,usa,asia_pacific,residential,74.0,121563,3602646,4.122797216686514,3330863,8,4,medium,3,4,
CL00005,individual,commercial_use,canada,asia_pacific,commercial,58.0,257328,3991865,4.640784496578785,6906904,17,4,low,3,4,
CL00006,individual,primary_residence,uae,europe,commercial,66.0,327225,4250579,2.531333579073741,6207174,15,19,low,0,7,
CL00007,individual,investment_rental,canada,north_america,residential,59.0,236314,1253891,3.522541179932322,2383414,1,21,low,1,1,
CL00008,foreign_investor,primary_residence,usa,asia_pacific,industrial,50.0,473599,802214,2.720570928387305,1793063,12,4,low,5,6,
CL00009,institutional,portfolio_diversification,australia,asia_pacific,commercial,26.0,39837,1860143,2.751060219952514,6284678,5,3,medium,7,0,
CL00010,institutional,flip_resale,uk,middle_east,mixed_use,30.0,265207,325687,2.24148355643248,154331,6,8,high,1,0,
CL00011,individual,investment_rental,usa,asia_pacific,industrial,69.0,475367,3039701,4.048518481801299,1715976,1,21,medium,6,3,
CL00012,real_estate_fund,primary_residence,usa,asia_pacific,industrial,23.0,148128,2342365,4.744706256666021,7673290,1,9,medium,2,4,
CL00013,foreign_investor,commercial_use,singapore,asia_pacific,commercial,22.0,197896,2861856,4.7630034369378444,4126808,10,15,medium,8,4,
CL00014,individual,investment_rental,singapore,asia_pacific,industrial,61.0,194145,2171088,1.6991251394997353,7780725,10,9,medium,7,0,
CL00015,individual,investment_rental,germany,middle_east,industrial,72.0,404795,2213048,4.498974598626264,362854,3,9,low,1,6,
CL00016,individual,primary_residence,usa,europe,commercial,51.0,127624,129813,3.9497257657084885,4894353,17,18,medium,0,4,
CL00017,individual,investment_rental,usa,europe,commercial,48.0,449515,3311407,2.011349602761157,5133998,19,9,medium,5,7,
CL00018,corporate,commercial_use,uae,north_america,industrial,49.0,219933,4960345,1.2691384516860582,1703416,11,5,low,6,7,
CL00019,corporate,investment_rental,uk,asia_pacific,mixed_use,48.0,60063,4035388,2.071989067537512,7410219,18,16,medium,4,7,
CL00020,individual,commercial_use,uae,middle_east,residential,33.0,99453,373541,4.6488329471261025,3106156,2,4,medium,1,6,
CL00021,corporate,primary_residence,australia,north_america,industrial,60.0,284371,3849199,3.532714699583089,5124384,9,5,medium,3,1,
CL00022,individual,flip_resale,australia,north_america,industrial,47.0,491688,1715181,3.8842186435914874,2431696,17,23,low,0,8,
CL00023,individual,investment_rental,australia,europe,mixed_use,34.0,132166,3424714,2.0286094044363834,6791458,14,14,medium,4,7,
CL00024,corporate,flip_resale,germany,middle_east,industrial,29.0,44506,4134649,3.877552622299281,1283243,4,24,medium,4,1,
CL00025,corporate,commercial_use,uk,middle_east,industrial,49.0,255413,3238893,2.9694681948049957,154677,17,18,low,0,2,
CL00026,foreign_investor,investment_rental,uk,middle_east,residential,51.0,143604,3946342,2.501285383092055,354580,17,17,low,4,2,
CL00027,individual,portfolio_diversification,uae,europe,residential,30.0,56026,1450816,3.507013394169325,280334,12,3,medium,1,6,
CL00028,corporate,flip_resale,germany,europe,residential,60.0,450888,2513081,1.584386262165281,7964113,18,7,low,5,0,
CL00029,corporate,investment_rental,usa,europe,commercial,52.0,461633,870348,4.292014297787739,7985816,3,15,medium,2,5,
CL00030,individual,flip_resale,uk,europe,commercial,42.0,344557,2921058,1.9401251952476746,4707885,11,23,medium,4,7,
CL00031,institutional,investment_rental,usa,europe,residential,68.0,285116,2137171,3.609124451273785,6420300,18,18,low,0,8,
CL00032,individual,primary_residence,uae,asia_pacific,residential,55.0,357210,558819,2.6207885703013187,5312425,4,19,low,2,5,
CL00033,individual,flip_resale,canada,asia_pacific,commercial,52.0,220285,1308060,3.3841743819105887,2202109,17,2,medium,1,6,
CL00034,real_estate_fund,portfolio_diversification,germany,middle_east,mixed_use,73.0,80971,544874,1.4298022105156325,2658963,18,9,low,5,8,
CL00035,real_estate_fund,portfolio_diversification,usa,north_america,industrial,46.0,450497,4028683,1.0676511996864293,7970707,5,1,low,6,3,
CL00036,foreign_investor,commercial_use,australia,middle_east,industrial,33.0,143978,2208701,4.638257709521205,5977316,14,3,medium,7,4,
CL00037,individual,investment_rental,singapore,north_america,residential,22.0,189163,3710160,2.078520035068731,2031934,10,5,medium,8,2,
CL00038,individual,flip_resale,usa,europe,mixed_use,43.0,342638,2154048,4.278708011121836,2846711,15,10,medium,8,6,
CL00039,institutional,commercial_use,uk,north_america,commercial,61.0,133864,1163692,4.997401201888801,708745,1,13,low,1,6,
CL00040,corporate,flip_resale,uk,middle_east,residential,58.0,441826,4838637,1.8457250319956446,716819,16,15,medium,6,7,
CL00041,individual,investment_rental,u.s.a.,middle_east,mixed_use,68.0,424295,1043831,2.0606829647334224,6645791,11,20,medium,5,8,
CL00042,corporate,portfolio_diversification,australia,north_america,mixed_use,22.0,125386,4330013,3.6514391505386627,6907972,6,18,high,4,1,
CL00043,individual,primary_residence,uae,asia_pacific,mixed_use,22.0,469967,3174795,4.861794538402485,3948043,16,1,medium,8,2,
CL00044,real_estate_fund,portfolio_diversification,canada,europe,commercial,63.0,116126,1830841,4.663257392762976,344243,2,24,low,1,1,
CL00045,individual,commercial_use,uk,europe,commercial,63.0,478648,3973691,3.0115020802623396,5905325,1,16,medium,6,3,
CL00046,institutional,primary_residence,usa,middle_east,industrial,42.0,192023,4523471,4.180441130106899,4601535,9,8,medium,3,1,
CL00047,individual,commercial_use,uae,asia_pacific,industrial,36.0,110863,4151939,1.5429834123996042,3020741,12,16,medium,4,7,
CL00048,corporate,investment_rental,usa,north_america,mixed_use,38.0,370435,4599367,4.909752736816049,767423,17,14,high,8,2,
CL00049,corporate,primary_residence,uae,europe,mixed_use,43.0,155659,969953,4.857412936143946,740642,15,6,medium,1,6,
CL00050,individual,commercial_use,canada,asia_pacific,commercial,59.0,220944,2683273,1.6549158315166839,787031,19,21,low,0,2,
CL00051,real_estate_fund,investment_rental,uae,europe,industrial,56.0,37235,3198056,2.1976924992124265,3015893,10,22,medium,4,1,
CL00052,foreign_investor,portfolio_diversification,singapore,asia_pacific,mixed_use,66.0,374877,2416374,1.4006199900270677,2153369,12,18,low,5,7,
CL00053,real_estate_fund,investment_rental,usa,asia_pacific,industrial,37.0,92712,813806,2.086870395592719,5951060,14,2,medium,7,0,
CL00054,foreign_investor,flip_resale,usa,middle_east,industrial,29.0,182545,4293616,2.9694681948049957,1400844,9,0,medium,8,2,
CL00055,corporate,investment_rental,usa,europe,mixed_use,68.0,228639,3539187,2.513262428661038,1066094,13,3,medium,5,6,
CL00056,real_estate_fund,investment_rental,uae,north_america,commercial,38.0,267890,2857506,1.3535878685870335,4439361,3,17,low,6,0,
CL00057,individual,flip_resale,usa,middle_east,mixed_use,38.0,155849,850774,2.368902099115618,1236985,14,7,medium,1,0,
CL00058,individual,commercial_use,uk,middle_east,mixed_use,47.0,285493,3457963,4.92553333696512,396889,10,18,medium,0,2,
CL00059,individual,commercial_use,uae,north_america,industrial,34.0,109823,1024993,3.5187343810368117,6869142,16,22,medium,4,0,
CL00060,individual,investment_rental,uk,middle_east,mixed_use,38.0,134215,453791,2.664643785624631,6590913,7,22,low,2,0,
CL00061,corporate,flip_resale,usa,asia_pacific,commercial,59.0,271071,3540227,1.66615405398908,1615088,4,24,medium,6,7,
CL00062,individual,flip_resale,uk,asia_pacific,mixed_use,38.0,62230,1484525,4.944707189134779,6297878,11,5,low,7,4,
CL00063,foreign_investor,portfolio_diversification,canada,europe,commercial,69.0,376717,3617778,4.2833960370525155,6765316,16,0,low,3,4,
CL00064,corporate,commercial_use,singapore,europe,commercial,35.0,253660,216220,2.1259092098036776,5219888,4,7,low,2,0,
CL00065,individual,primary_residence,uae,north_america,industrial,66.0,492092,321421,1.2802747828847578,5419262,17,0,low,5,0,
CL00066,corporate,commercial_use,usa,europe,residential,27.0,332788,449317,1.2265022295102321,6518131,13,18,medium,2,0,
CL00067,individual,commercial_use,australia,asia_pacific,residential,56.0,209736,4021087,1.4815125980221353,4334251,11,10,high,6,7,
CL00068,foreign_investor,portfolio_diversification,singapore,north_america,industrial,67.0,337347,3027971,3.3230743344576865,3262252,3,20,medium,6,3,
